epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,586.897,1.2889,1.19514,1.08416,0.95457,0.89022,0.9351,0.61232,1.23922,0.8204,1.07156,0.000665803,0.000665803,0.000665803
2,1115.46,1.27614,0.79221,1.08306,0.96704,0.90903,0.9467,0.61275,1.24742,0.71299,1.09343,0.00124453,0.00124453,0.00124453
3,1645.9,1.24095,0.70294,1.07831,0.96837,0.92228,0.95835,0.6426,1.19022,0.65165,1.09487,0.00173525,0.00173525,0.00173525
4,2172.39,1.22162,0.67925,1.08039,0.969,0.93445,0.95793,0.62725,1.24668,0.62603,1.09064,0.001604,0.001604,0.001604
5,2699.17,1.19204,0.63086,1.06571,0.9737,0.9288,0.96111,0.63772,1.22345,0.598,1.08775,0.001472,0.001472,0.001472
6,3224.62,1.16201,0.60522,1.0679,0.97353,0.91938,0.95951,0.65233,1.18636,0.6103,1.10678,0.00134,0.00134,0.00134
7,3745.44,1.15066,0.57548,1.06637,0.97146,0.92609,0.96065,0.64718,1.17652,0.59165,1.0835,0.001208,0.001208,0.001208
8,4273.06,1.12575,0.55218,1.05321,0.97725,0.93389,0.96461,0.67122,1.1335,0.55246,1.06759,0.001076,0.001076,0.001076
9,4811.73,1.11321,0.52775,1.04521,0.98235,0.93794,0.96802,0.67654,1.1212,0.53801,1.06047,0.000944,0.000944,0.000944
10,5348.45,1.11257,0.51302,1.04188,0.98363,0.93804,0.96917,0.67266,1.13456,0.52156,1.06237,0.000812,0.000812,0.000812
11,5870.36,1.08923,0.49754,1.03477,0.9837,0.94511,0.97295,0.68598,1.10641,0.50929,1.05478,0.00068,0.00068,0.00068
12,6400.85,1.07237,0.4794,1.0301,0.97477,0.9449,0.97085,0.68765,1.10129,0.49496,1.05373,0.000548,0.000548,0.000548
13,6922.41,1.06452,0.46056,1.02603,0.98467,0.94891,0.97503,0.68929,1.10375,0.47166,1.05439,0.000416,0.000416,0.000416
14,7451.39,1.04963,0.44974,1.02134,0.9815,0.9513,0.97506,0.69864,1.07943,0.4528,1.03404,0.000284,0.000284,0.000284
15,7981.64,1.03702,0.43481,1.01259,0.98208,0.95295,0.97556,0.69984,1.07412,0.44552,1.03221,0.000152,0.000152,0.000152
